,Quarter,Tm,Detail,MIA,BUF
0,1.0,Bills,Nick Mike-Mayer 37 yard field goal,0,3
1,1.0,Bills,Jerry Butler 28 yard pass from Joe Ferguson (Nick Mike-Mayer kick),0,10
2,2.0,Bills,Roosevelt Leaks 1 yard rush (Nick Mike-Mayer kick),0,17
3,2.0,Dolphins,Fulton Walker 90 yard kickoff return (Uwe von Schamann kick),7,17
4,2.0,Bills,Joe Cribbs 65 yard pass from Joe Ferguson (Nick Mike-Mayer kick),7,24
5,2.0,Bills,Jerry Butler 25 yard pass from Joe Ferguson (Nick Mike-Mayer kick),7,31
6,3.0,Dolphins,Tony Nathan 12 yard rush (Uwe von Schamann kick),14,31
7,4.0,Dolphins,Joe Rose 4 yard pass from Don Strock (Uwe von Schamann kick),21,31
