,Quarter,Tm,Detail,PHO,NYG
0,1.0,Cardinals,Ernie Jones 72 yard pass from Chris Chandler (Greg Davis kick),7,0
1,1.0,Giants,Rodney Hampton 63 yard rush (Matt Bahr kick),7,7
2,2.0,Giants,Jarrod Bunch 6 yard rush (Matt Bahr kick),7,14
3,2.0,Giants,Ed McCaffrey 25 yard pass from Jeff Hostetler (Matt Bahr kick),7,21
4,2.0,Cardinals,Chris Chandler 1 yard rush (Greg Davis kick),14,21
5,3.0,Giants,Jeff Hostetler 16 yard rush (Matt Bahr kick),14,28
6,3.0,Giants,Matt Bahr 32 yard field goal,14,31
7,4.0,Cardinals,Johnny Bailey 7 yard pass from Chris Chandler (Greg Davis kick),21,31
