,Quarter,Tm,Detail,IND,DAL
0,2.0,Cowboys,Tony Hill 38 yard pass from Danny White (Rafael Septien kick),0,7
1,2.0,Cowboys,Doug Cosbie 5 yard pass from Danny White,0,13
2,3.0,Cowboys,Rafael Septien 19 yard field goal,0,16
3,4.0,Cowboys,Rafael Septien 19 yard field goal,0,19
4,4.0,Cowboys,Rafael Septien 24 yard field goal,0,22
5,4.0,Colts,Raul Allegre 52 yard field goal,3,22
