,Quarter,Time,Tm,Detail,SEA,KAN
0,2.0,,Chiefs,Kimble Anders 9 yard pass from Joe Montana (Lin Elliott kick),0,7
1,2.0,,Chiefs,Lin Elliott 49 yard field goal,0,10
2,2.0,,Chiefs,Lin Elliott 34 yard field goal,0,13
3,3.0,,Seahawks,Jon Vaughn 3 yard rush (John Kasay kick),7,13
4,3.0,,Chiefs,Marcus Allen 36 yard rush (Marcus Allen run),7,21
5,4.0,,Chiefs,Lake Dawson 21 yard pass from Joe Montana (Lin Elliott kick),7,28
6,4.0,,Chiefs,Lin Elliott 27 yard field goal,7,31
7,4.0,,Seahawks,Brian Blades 1 yard pass from Rick Mirer (Brian Blades pass from Rick Mirer ),15,31
8,4.0,,Chiefs,Eric Martin 32 yard pass from Steve Bono (Lin Elliott kick),15,38
9,4.0,,Seahawks,Brian Blades 9 yard pass from Rick Mirer (Jon Vaughn run),23,38
