,Quarter,Tm,Detail,NYG,CHI
0,1.0,Giants,David Treadwell 19 yard field goal,3,0
1,2.0,Giants,David Treadwell 35 yard field goal,6,0
2,2.0,Giants,David Treadwell 23 yard field goal,9,0
3,2.0,Bears,Terry Obee 2 yard pass from Jim Harbaugh (Kevin Butler kick),9,7
4,3.0,Bears,Myron Baker 5 yard blocked punt return (Kevin Butler kick),9,14
5,3.0,Bears,Kevin Butler 20 yard field goal,9,17
6,3.0,Giants,Mark Jackson 40 yard pass from Phil Simms (David Treadwell kick),16,17
7,4.0,Giants,David Treadwell 36 yard field goal,19,17
8,4.0,Bears,Kevin Butler 34 yard field goal,19,20
9,4.0,Giants,Jarrod Bunch 1 yard pass from Phil Simms (David Treadwell kick),26,20
