,Quarter,Tm,Detail,HOU,BUF
0,1,Bills,Bruce Alford 14 yard field goal,0,3
1,2,Oilers,Alvin Reed 12 yard pass from Pete Beathard (Roy Gerela kick),7,3
2,3,Oilers,Roy Gerela 21 yard field goal,10,3
3,4,Oilers,Hoyle Granger 1 yard rush (Roy Gerela kick),17,3
