,Quarter,Time,Tm,Detail,NYJ,MIA
0,1.0,8:16,Jets,Keyshawn Johnson 4 yard pass from Ray Lucas (John Hall kick),7,0
1,1.0,5:37,Dolphins,Ed Perry 1 yard pass from Dan Marino (Olindo Mare kick),7,7
2,1.0,0:07,Jets,John Hall 48 yard field goal,10,7
3,2.0,8:41,Jets,Marcus Coleman 98 yard interception return (John Hall kick),17,7
4,2.0,2:46,Dolphins,Stanley Pritchett 3 yard pass from Dan Marino (Olindo Mare kick),17,14
5,3.0,11:01,Dolphins,Tony Martin 32 yard pass from Dan Marino (Olindo Mare kick),17,21
6,3.0,7:01,Jets,Curtis Martin 1 yard rush (John Hall kick),24,21
7,4.0,13:32,Dolphins,J.J. Johnson 1 yard rush (Olindo Mare kick),24,28
8,4.0,10:41,Jets,Wayne Chrebet 50 yard pass from Ray Lucas (John Hall kick),31,28
9,4.0,8:56,Jets,Dedric Ward 56 yard pass from Ray Lucas (John Hall kick),38,28
10,4.0,2:20,Dolphins,Olindo Mare 37 yard field goal,38,31
