,Quarter,Tm,Detail,GNB,CHI
0,2,Bears,Bill Senn 52 yard pass from Paddy Driscoll (Joey Sternaman kick),0,7
1,3,Packers,Rex Enright 11 yard pass from Red Dunn,6,7
2,4,Bears,Bill Senn 28 yard pass from Paddy Driscoll (Paddy Driscoll kick),6,14
