,Quarter,Time,Tm,Detail,ARI,CAR
0,1.0,7:25,Panthers,Mike Davis 1 yard rush (Joey Slye kick),0,7
1,1.0,1:38,Panthers,Teddy Bridgewater 18 yard rush (Joey Slye kick),0,14
2,2.0,7:31,Cardinals,Jordan Thomas 3 yard pass from Kyler Murray (Zane Gonzalez kick),7,14
3,2.0,2:00,Panthers,Reggie Bonnafon 3 yard pass from Teddy Bridgewater (Joey Slye kick),7,21
4,3.0,5:30,Panthers,Ian Thomas 2 yard pass from Teddy Bridgewater (Joey Slye kick),7,28
5,3.0,1:21,Cardinals,Christian Kirk 3 yard pass from Kyler Murray (Zane Gonzalez kick),14,28
6,4.0,7:49,Panthers,Joey Slye 27 yard field goal,14,31
7,4.0,2:17,Cardinals,Chase Edmonds 2 yard pass from Kyler Murray (Zane Gonzalez kick),21,31
