,Quarter,Tm,Detail,DAL,PIT
0,2.0,Cowboys,Don Meredith 3 yard rush (Danny Villanueva kick),7,0
1,2.0,Cowboys,Danny Villanueva 27 yard field goal,10,0
2,2.0,Steelers,Willie Asbury 11 yard pass from Ron Smith (Mike Clark kick),10,7
3,3.0,Cowboys,Danny Villanueva 37 yard field goal,13,7
4,4.0,Cowboys,Bob Hayes 38 yard pass from Don Meredith (Danny Villanueva kick),20,7
