,Quarter,Tm,Detail,CIN,DAL
0,1.0,Bengals,Chris Bahr 48 yard field goal,3,0
1,1.0,Cowboys,Scott Laidlaw 3 yard rush (Rafael Septien kick),3,7
2,2.0,Cowboys,Scott Laidlaw 1 yard rush (Rafael Septien kick),3,14
3,2.0,Cowboys,Billy Joe DuPree 3 yard pass from Roger Staubach (Rafael Septien kick),3,21
4,2.0,Bengals,Chris Bahr 38 yard field goal,6,21
5,3.0,Bengals,Don Bass 10 yard pass from Ken Anderson (Chris Bahr kick),13,21
6,3.0,Cowboys,Rafael Septien 26 yard field goal,13,24
7,3.0,Cowboys,Tony Hill 9 yard pass from Roger Staubach (Rafael Septien kick),13,31
8,4.0,Cowboys,Ron Springs 1 yard rush (Rafael Septien kick),13,38
