,Quarter,Time,Tm,Detail,STL,SFO
0,1.0,14:48,49ers,Cedrick Wilson 95 yard kickoff return (Todd Peterson kick),0,7
1,1.0,10:37,Rams,Jeff Wilkins 39 yard field goal,3,7
2,1.0,6:20,49ers,Terrell Owens 5 yard pass from Tim Rattay (Todd Peterson kick),3,14
3,2.0,9:24,49ers,Todd Peterson 44 yard field goal,3,17
4,2.0,4:15,49ers,Brandon Lloyd 27 yard pass from Tim Rattay (Todd Peterson kick),3,24
5,3.0,12:54,49ers,Tai Streets 5 yard pass from Tim Rattay (Todd Peterson kick failed),3,30
6,4.0,13:10,Rams,Torry Holt 41 yard pass from Marc Bulger (Jeff Wilkins kick),10,30
