,Quarter,Tm,Detail,CHI,GNB
0,1.0,Packers,Harlan Huckleby 9 yard rush (Jan Stenerud kick),0,7
1,1.0,Packers,Paul Coffman 5 yard pass from Lynn Dickey (Jan Stenerud kick),0,14
2,1.0,Bears,Willie Gault 87 yard pass from Jim McMahon (Bob Thomas kick),7,14
3,2.0,Packers,Gerry Ellis 12 yard rush (Jan Stenerud kick),7,21
4,2.0,Bears,Matt Suhey 1 yard rush (Bob Thomas kick),14,21
5,4.0,Packers,Harlan Huckleby 10 yard rush (Jan Stenerud kick),14,28
6,4.0,Bears,Matt Suhey 1 yard rush (Bob Thomas kick),21,28
7,4.0,Bears,Dennis McKinnon 59 yard punt return (Bob Thomas kick),28,28
8,4.0,Packers,Jan Stenerud 19 yard field goal,28,31
