,Quarter,Tm,Detail,WAS,ATL
0,1.0,Redskins,Mark Moseley 42 yard field goal,3,0
1,2.0,Redskins,Larry Brown 3 yard pass from Billy Kilmer (Mark Moseley kick),10,0
2,2.0,Falcons,Ken Burrow 9 yard pass from Steve Bartkowski (Nick Mike-Mayer kick),10,7
3,2.0,Falcons,Wallace Francis 67 yard pass from Steve Bartkowski (Nick Mike-Mayer kick),10,14
4,3.0,Falcons,Nick Mike-Mayer 23 yard field goal,10,17
5,3.0,Redskins,Frank Grant 69 yard pass from Billy Kilmer (Mark Moseley kick),17,17
6,4.0,Redskins,Mark Moseley 34 yard field goal,20,17
7,4.0,Redskins,Jerry Smith 12 yard pass from Billy Kilmer (Mark Moseley kick),27,17
8,4.0,Falcons,Dave Hampton 3 yard pass from Steve Bartkowski (Nick Mike-Mayer kick),27,24
9,4.0,Falcons,Nick Mike-Mayer 44 yard field goal,27,27
10,4.0,Redskins,Mark Moseley 39 yard field goal,30,27
