,Quarter,Time,Tm,Detail,DEN,NYJ
0,1.0,9:19,Broncos,Courtland Sutton 8 yard pass from Case Keenum (Brandon McManus kick),7,0
1,2.0,13:47,Jets,Isaiah Crowell 77 yard rush (Jason Myers kick),7,7
2,2.0,10:46,Jets,Robby Anderson 76 yard pass from Sam Darnold (Jason Myers kick),7,14
3,2.0,3:58,Broncos,Brandon McManus 30 yard field goal,10,14
4,2.0,1:13,Jets,Robby Anderson 35 yard pass from Sam Darnold (Jason Myers kick),10,21
5,3.0,4:52,Jets,Jason Myers 49 yard field goal,10,24
6,4.0,12:59,Jets,Jason Myers 30 yard field goal,10,27
7,4.0,5:10,Jets,Terrelle Pryor 20 yard pass from Sam Darnold (Jason Myers kick),10,34
8,4.0,3:18,Broncos,Demaryius Thomas 42 yard pass from Case Keenum,16,34
