,Quarter,Tm,Detail,CLE,PHI
0,1.0,Browns,Len Ford fumble recovery in end zone (Lou Groza kick),7,0
1,1.0,Browns,Pete Brewster 47 yard pass from Otto Graham (Lou Groza kick),14,0
2,2.0,Browns,Sherman Howard 35 yard pass from Otto Graham (Lou Groza kick),21,0
3,3.0,Browns,Dub Jones 63 yard pass from Otto Graham (Lou Groza kick),28,0
4,3.0,Browns,Mac Speedie 8 yard pass from Otto Graham (Lou Groza kick),35,0
5,3.0,Browns,Dub Jones 16 yard rush (Lou Groza kick),42,0
6,4.0,Browns,Horace Gillom 11 yard pass from George Ratterman (Lou Groza kick),49,0
7,4.0,Eagles,Ralph Goldston 4 yard rush (Bobby Walston kick),49,7
