,Quarter,Tm,Detail,RAM,TAM
0,1.0,Buccaneers,Eddie Murray 34 yard field goal,0,3
1,1.0,Buccaneers,Eddie Murray 47 yard field goal,0,6
2,2.0,Buccaneers,Tyji Armstrong 81 yard pass from Vinny Testaverde (Eddie Murray kick),0,13
3,2.0,Buccaneers,Roger Jones 26 yard special teams fumble return (Eddie Murray kick),0,20
4,2.0,Rams,Tony Zendejas 18 yard field goal,3,20
5,2.0,Buccaneers,Mark Carrier 10 yard pass from Vinny Testaverde (Eddie Murray kick),3,27
6,3.0,Rams,Flipper Anderson 40 yard pass from Jim Everett (Tony Zendejas kick),10,27
7,3.0,Rams,Jeff Chadwick 27 yard pass from Jim Everett (Tony Zendejas kick),17,27
8,3.0,Rams,David Lang 1 yard rush (Tony Zendejas kick),24,27
9,4.0,Rams,Pat Carter 8 yard pass from Jim Everett (Tony Zendejas kick),31,27
