,Quarter,Tm,Detail,NYJ,NYG
0,1.0,Giants,David Treadwell 28 yard field goal,0,3
1,2.0,Jets,Cary Blanchard 21 yard field goal,3,3
2,2.0,Giants,David Treadwell 23 yard field goal,3,6
3,3.0,Jets,Brad Baxter 2 yard rush (Cary Blanchard kick),10,6
