,Quarter,Tm,Detail,CLE,RAM
0,1.0,Rams,Elroy Hirsch 34 yard pass from Norm Van Brocklin (Bob Waterfield kick),0,7
1,1.0,Rams,Bob Waterfield 47 yard field goal,0,10
2,1.0,Browns,Ken Carpenter 45 yard pass from Otto Graham (Lou Groza kick),7,10
3,3.0,Browns,Ken Carpenter 2 yard rush (Lou Groza kick),14,10
4,3.0,Browns,Ken Carpenter 7 yard rush (Lou Groza kick),21,10
5,3.0,Browns,Warren Lahr 23 yard interception return (Lou Groza kick),28,10
6,3.0,Rams,Glenn Davis 1 yard rush (Bob Waterfield kick),28,17
7,4.0,Browns,Lou Groza 44 yard field goal,31,17
8,4.0,Rams,Glenn Davis 14 yard pass from Norm Van Brocklin,31,23
9,4.0,Browns,Dub Jones 1 yard rush (Lou Groza kick),38,23
