,Quarter,Tm,Detail,NYJ,BUF
0,1.0,Jets,John Riggins 16 yard rush (Bobby Howfield kick),7,0
1,1.0,Jets,Chris Farasopoulos 65 yard punt return (Bobby Howfield kick),14,0
2,2.0,Jets,Emerson Boozer 12 yard pass from Joe Namath (Bobby Howfield kick),21,0
3,2.0,Bills,J.D. Hill 38 yard pass from Dennis Shaw (John Leypoldt kick),21,7
4,2.0,Jets,Emerson Boozer 15 yard rush (Bobby Howfield kick),28,7
5,3.0,Jets,Bobby Howfield 35 yard field goal,31,7
6,3.0,Bills,J.D. Hill 21 yard pass from O.J. Simpson (John Leypoldt kick),31,14
7,4.0,Jets,Emerson Boozer 1 yard rush (Bobby Howfield kick),38,14
8,4.0,Jets,Bobby Howfield 11 yard field goal,41,14
9,4.0,Bills,John Leypoldt 48 yard field goal,41,17
10,4.0,Bills,Haven Moses 25 yard pass from Dennis Shaw (John Leypoldt kick),41,24
