,Quarter,Time,Tm,Detail,DAL,BAL
0,1.0,3:53,Cowboys,Billy Cundiff 19 yard field goal,3,0
1,3.0,6:53,Ravens,Darnell Dinkins 17 yard pass from Kyle Boller (Matt Stover kick),3,7
2,3.0,4:30,Ravens,Kevin Johnson 31 yard pass from Kyle Boller (Matt Stover kick),3,14
3,4.0,11:22,Ravens,Matt Stover 50 yard field goal,3,17
4,4.0,10:42,Ravens,Chad Williams 44 yard interception return (Matt Stover kick),3,24
5,4.0,9:46,Ravens,Chester Taylor 1 yard rush (Matt Stover kick failed),3,30
6,4.0,0:40,Cowboys,Jeff Robinson 1 yard pass from Drew Henson (Billy Cundiff kick),10,30
