,Quarter,Tm,Detail,NOR,RAM
0,1.0,Rams,LeRoy Irvin 51 yard interception return (Mike Lansford kick),0,7
1,1.0,Rams,Eric Dickerson 7 yard rush (Mike Lansford kick),0,14
2,2.0,Rams,Henry Ellard 16 yard pass from Jeff Kemp (Mike Lansford kick),0,21
3,2.0,Rams,Mike Lansford 25 yard field goal,0,24
4,2.0,Saints,Lindsay Scott 14 yard pass from Dave Wilson (Morten Andersen kick),7,24
5,3.0,Rams,Mike Lansford 30 yard field goal,7,27
6,4.0,Saints,Tyrone Young 3 yard pass from Dave Wilson (Morten Andersen kick),14,27
7,4.0,Saints,Eugene Goodlow 8 yard pass from Dave Wilson (Morten Andersen kick),21,27
8,4.0,Rams,Henry Ellard 34 yard pass from Jeff Kemp (Mike Lansford kick),21,34
