,Quarter,Time,Tm,Detail,STL,SEA
0,1.0,9:50,Rams,Jeff Wilkins 31 yard field goal,3,0
1,2.0,8:45,Seahawks,Shaun Alexander 6 yard rush (Josh Brown kick),3,7
2,2.0,0:15,Seahawks,Josh Brown 31 yard field goal,3,10
3,3.0,12:22,Rams,Jeff Wilkins 36 yard field goal,6,10
4,3.0,9:20,Seahawks,Shaun Alexander 4 yard rush (Josh Brown kick),6,17
5,3.0,4:59,Seahawks,D.J. Hackett 31 yard pass from Matt Hasselbeck (Josh Brown kick),6,24
6,3.0,0:40,Rams,Jeff Wilkins 39 yard field goal,9,24
7,4.0,7:00,Rams,Torry Holt 14 yard pass from Marc Bulger (Jeff Wilkins kick),16,24
8,4.0,1:12,Seahawks,Shaun Alexander 17 yard rush (Josh Brown kick),16,31
