,Quarter,Tm,Detail,BAL,CHI
0,2.0,Colts,Raymond Berry 7 yard pass from George Shaw (Steve Myhra kick),7,0
1,2.0,Colts,Alan Ameche 4 yard rush (Steve Myhra kick),14,0
2,4.0,Colts,Steve Myhra 12 yard field goal,17,0
