,Quarter,Tm,Detail,CLE,DEN
0,1.0,Broncos,Rich Karlis 18 yard field goal,0,3
1,1.0,Broncos,Orson Mobley 11 yard pass from John Elway (Rich Karlis kick),0,10
2,2.0,Broncos,Rich Karlis 22 yard field goal,0,13
3,2.0,Broncos,Gerald Willhite 1 yard rush (Rich Karlis kick),0,20
4,2.0,Broncos,Rich Karlis 32 yard field goal,0,23
5,2.0,Broncos,Steve Sewell 5 yard pass from John Elway (Rich Karlis kick),0,30
6,3.0,Browns,Earnest Byner 2 yard rush (Matt Bahr kick),7,30
