,Quarter,Tm,Detail,HAM,AKR
0,2.0,Indians,Hal Griggs 30 yard rush (George Rohleder kick),0,7
1,2.0,Indians,George Rohleder unknown yard field goal,0,10
2,3.0,Indians,Hal Griggs 20 yard rush (George Rohleder kick),0,17
