,Quarter,Tm,Detail,CIN,CHI
0,1,Bengals,Pete Johnson 1 yard rush (Jim Breech kick),7,0
1,2,Bengals,Isaac Curtis 7 yard pass from Jack Thompson (Jim Breech kick),14,0
2,2,Bears,Alan Page defensive fumble recovery in end zone (Bob Thomas kick),14,7
3,4,Bears,Roland Harper 1 yard rush (Bob Thomas kick),14,14
4,OT,Bengals,Jim Breech 28 yard field goal,17,14
