,Quarter,Tm,Detail,GNB,BOS
0,1.0,Packers,Ted Fritsch 25 yard field goal,3,0
1,1.0,Packers,Bob Forte 14 yard pass from Jack Jacobs (Ed Cody kick),10,0
2,2.0,Packers,Nolan Luhn 20 yard pass from Fred Provo (Ed Cody kick),17,0
3,3.0,Packers,Ralph Earhart 72 yard rush (Ed Cody kick),24,0
4,4.0,Packers,Tony Canadeo 1 yard rush (Ed Cody kick),31,0
