,Quarter,Tm,Detail,BAL,SFO
0,1.0,49ers,Ken Willard 3 yard rush,0,6
1,2.0,49ers,Dick Witcher 3 yard pass from John Brodie (Momcilo Gavric kick),0,13
2,3.0,Colts,Terry Cole 2 yard rush (Lou Michaels kick),7,13
3,3.0,Colts,Lou Michaels 41 yard field goal,10,13
4,4.0,Colts,Ray Perkins 11 yard pass from Johnny Unitas (Lou Michaels kick),17,13
5,4.0,49ers,Jimmy Thomas 18 yard pass from John Brodie (Momcilo Gavric kick),17,20
