,Quarter,Tm,Detail,SFO,PHO
0,1.0,49ers,Mike Cofer 42 yard field goal,3,0
1,2.0,49ers,Roger Craig 3 yard rush (Mike Cofer kick),10,0
2,2.0,49ers,Mike Cofer 27 yard field goal,13,0
3,2.0,49ers,Mike Cofer 30 yard field goal,16,0
4,3.0,49ers,Brent Jones 3 yard pass from Steve Young (Mike Cofer kick),23,0
5,3.0,Cardinals,Roy Green 35 yard pass from Neil Lomax (Al Del Greco kick),23,7
6,4.0,Cardinals,Al Del Greco 24 yard field goal,23,10
7,4.0,Cardinals,Ernie Jones 5 yard pass from Neil Lomax (Al Del Greco kick),23,17
8,4.0,Cardinals,Roy Green 9 yard pass from Neil Lomax (Al Del Greco kick),23,24
