,Quarter,Tm,Detail,CHI,FRN
0,1.0,Yellow Jackets,Ed Halicki 32 yard rush (Ed Halicki kick),0,7
1,1.0,Yellow Jackets,George Barna 35 yard fumble return,0,13
2,1.0,Bears,Luke Johnsos 7 yard pass from Walt Holmer (Joey Sternaman kick),7,13
3,4.0,Bears,Luke Johnsos unknown yard pass from Walt Holmer (Joey Sternaman kick),14,13
4,4.0,Yellow Jackets,Ed Halicki unknown yard pass from Wild Bill Kelly (Ed Halicki kick),14,20
