,Quarter,Time,Tm,Detail,OAK,GNB
0,1.0,5:44,Packers,Bill Schroeder 4 yard pass from Brett Favre (Ryan Longwell kick),0,7
1,1.0,2:57,Raiders,Michael Husted 41 yard field goal,3,7
2,2.0,10:54,Raiders,Randy Jordan 1 yard rush (Michael Husted kick),10,7
3,3.0,6:42,Packers,Antonio Freeman 12 yard pass from Brett Favre (Ryan Longwell kick),10,14
4,3.0,2:28,Raiders,Tyrone Wheatley 5 yard rush (Michael Husted kick),17,14
5,4.0,10:52,Raiders,Randy Jordan 1 yard rush (Michael Husted kick),24,14
6,4.0,7:20,Packers,Corey Bradford 8 yard pass from Brett Favre (Ryan Longwell kick),24,21
7,4.0,0:11,Packers,Jeff Thomason 1 yard pass from Brett Favre (Ryan Longwell kick),24,28
