,Quarter,Tm,Detail,NYG,STL
0,2.0,Cardinals,Steve Jones 5 yard rush (Jim Bakken kick),0,7
1,2.0,Cardinals,Conrad Dobler offensive fumble recovery in end zone (Jim Bakken kick),0,14
2,3.0,Cardinals,Jerry Latin 4 yard rush (Jim Bakken kick),0,21
3,4.0,Cardinals,Mike Sensibaugh 79 yard interception return (Jim Bakken kick),0,28
