,Quarter,Tm,Detail,ATL,CHI
0,4.0,Falcons,Haskel Stanback 3 yard rush (Nick Mike-Mayer kick),7,0
1,4.0,Falcons,Nick Mike-Mayer 45 yard field goal,10,0
