,Quarter,Tm,Detail,CLE,STL
0,1.0,Browns,Lou Groza 12 yard field goal,3,0
1,1.0,Browns,Lou Groza 27 yard field goal,6,0
2,2.0,Browns,Charlie Scales 5 yard rush (Lou Groza kick),13,0
3,2.0,Browns,Johnny Brewer 37 yard pass from Jim Ninowski (Lou Groza kick),20,0
4,3.0,Cardinals,John David Crow 5 yard pass from Charley Johnson (Gerry Perry kick),20,7
5,4.0,Browns,Jim Brown 4 yard pass from Jim Ninowski (Lou Groza kick),27,7
6,4.0,Browns,Ray Renfro 38 yard pass from Jim Ninowski (Lou Groza kick),34,7
