,Quarter,Time,Tm,Detail,SDG,OAK
0,1,9:09,Chargers,Donald Brown 1 yard rush (Josh Lambo kick),7,0
1,1,3:27,Raiders,Latavius Murray 22 yard rush (Sebastian Janikowski kick),7,7
2,2,11:05,Chargers,Dontrelle Inman 7 yard pass from Philip Rivers (Josh Lambo kick),14,7
3,2,6:03,Raiders,Sebastian Janikowski 50 yard field goal,14,10
4,2,0:31,Chargers,Josh Lambo 47 yard field goal,17,10
5,3,2:10,Raiders,"Safety, Philip Rivers denico Autry sack in end zone",17,12
6,4,4:42,Raiders,Michael Crabtree 3 yard pass from Derek Carr (Seth Roberts pass from Derek Carr),17,20
7,4,0:55,Chargers,Josh Lambo 45 yard field goal,20,20
8,OT,8:05,Raiders,Sebastian Janikowski 31 yard field goal,20,23
