,Quarter,Time,Tm,Detail,JAX,IND
0,2.0,13:27,Jaguars,Kyle Brady 4 yard pass from Byron Leftwich (Josh Scobee kick),7,0
1,2.0,9:23,Colts,Marvin Harrison 7 yard pass from Peyton Manning (Mike Vanderjagt kick),7,7
2,2.0,1:52,Jaguars,Josh Scobee 26 yard field goal,10,7
3,2.0,0:12,Colts,Dallas Clark 17 yard pass from Peyton Manning (Mike Vanderjagt kick),10,14
4,3.0,3:11,Jaguars,Josh Scobee 32 yard field goal,13,14
5,4.0,14:52,Jaguars,Josh Scobee 26 yard field goal,16,14
6,4.0,9:32,Colts,Mike Vanderjagt 34 yard field goal,16,17
7,4.0,6:14,Jaguars,Jimmy Smith 25 yard pass from Byron Leftwich (Ernest Wilford pass from Byron Leftwich),24,17
8,4.0,3:52,Colts,Marvin Harrison 39 yard pass from Peyton Manning (Mike Vanderjagt kick),24,24
9,4.0,0:38,Jaguars,Josh Scobee 53 yard field goal,27,24
