,Quarter,Tm,Detail,WAS,PIT
0,1.0,Redskins,Curt Knight 30 yard field goal,3,0
1,1.0,Steelers,Preston Pearson 7 yard pass from Terry Hanratty (Roy Gerela kick),3,7
2,2.0,Redskins,Curt Knight 12 yard field goal,6,7
3,2.0,Steelers,Ron Shanklin 24 yard pass from Terry Hanratty (Roy Gerela kick),6,14
4,3.0,Redskins,Curt Knight 16 yard field goal,9,14
5,4.0,Steelers,Barry Pearson 46 yard pass from Joe Gilliam (Roy Gerela kick),9,21
6,4.0,Redskins,Larry Brown 17 yard pass from Billy Kilmer (Curt Knight kick),16,21
