,Quarter,Time,Tm,Detail,ARI,PHI
0,1.0,,Cardinals,Greg Davis 37 yard field goal,3,0
1,1.0,,Cardinals,Greg Davis 35 yard field goal,6,0
2,2.0,,Cardinals,Larry Centers 1 yard rush (Stevie Anderson pass from Dave Krieg),14,0
3,2.0,,Cardinals,Greg Davis 37 yard field goal,17,0
4,2.0,8:39,Eagles,Derrick Witherspoon 86 yard kickoff return (Gary Anderson kick),17,7
5,3.0,8:39,Eagles,Reggie Johnson 21 yard pass from Rodney Peete (Gary Anderson kick),17,14
6,3.0,8:39,Cardinals,Greg Davis 35 yard field goal,20,14
7,4.0,8:39,Eagles,Calvin Williams 37 yard pass from Rodney Peete (Gary Anderson kick),20,21
