,Quarter,Tm,Detail,SFO,GNB
0,2.0,Packers,Jan Stenerud 26 yard field goal,0,3
1,2.0,49ers,Ray Wersching 26 yard field goal,3,3
2,3.0,49ers,Johnny Davis 1 yard rush (Ray Wersching kick),10,3
3,4.0,49ers,Ray Wersching 32 yard field goal,13,3
