,Quarter,Time,Tm,Detail,DET,TAM
0,1.0,8:29,Buccaneers,Martin Gramatica 27 yard field goal,0,3
1,1.0,5:00,Buccaneers,Martin Gramatica 43 yard field goal,0,6
2,2.0,11:47,Buccaneers,"Safety,",0,8
3,2.0,7:45,Lions,Jason Hanson 32 yard field goal,3,8
4,2.0,5:24,Buccaneers,Martin Gramatica 50 yard field goal,3,11
5,2.0,0:38,Lions,James Stewart 4 yard rush (James Stewart run),11,11
6,3.0,11:29,Lions,Jason Hanson 47 yard field goal,14,11
7,4.0,13:10,Buccaneers,Martin Gramatica 55 yard field goal,14,14
8,4.0,4:28,Lions,James Stewart 4 yard rush (Jason Hanson kick),21,14
9,4.0,1:53,Lions,James Stewart 1 yard rush (Jason Hanson kick),28,14
