,Quarter,Tm,Detail,WAS,KAN
0,1.0,Redskins,Charley Taylor 4 yard pass from Billy Kilmer (Curt Knight kick),7,0
1,1.0,Chiefs,Jan Stenerud 39 yard field goal,7,3
2,2.0,Chiefs,Jan Stenerud 15 yard field goal,7,6
3,2.0,Redskins,Curt Knight 33 yard field goal,10,6
4,2.0,Redskins,Charley Taylor 36 yard pass from Billy Kilmer (Curt Knight kick),17,6
5,3.0,Chiefs,Otis Taylor 25 yard pass from Len Dawson (Jan Stenerud kick),17,13
6,4.0,Redskins,Curt Knight 23 yard field goal,20,13
7,4.0,Chiefs,Elmo Wright 15 yard pass from Len Dawson (Jan Stenerud kick),20,20
8,4.0,Chiefs,Otis Taylor 28 yard pass from Len Dawson (Jan Stenerud kick),20,27
