,Quarter,Tm,Detail,CHI,GNB
0,1.0,Bears,Bobby Douglass 1 yard rush (Mac Percival kick),7,0
1,1.0,Packers,MacArthur Lane 5 yard pass from Scott Hunter (Chester Marcol kick),7,7
2,2.0,Packers,Scott Hunter 1 yard rush (Chester Marcol kick),7,14
3,2.0,Packers,Chester Marcol 25 yard field goal,7,17
4,2.0,Bears,Mac Percival 10 yard field goal,10,17
5,3.0,Bears,Bobby Douglass 1 yard rush (Mac Percival kick),17,17
6,3.0,Bears,Bobby Douglass 2 yard rush (Mac Percival kick),24,17
7,4.0,Bears,Bobby Douglass 1 yard rush (Mac Percival kick),31,17
