,Quarter,Tm,Detail,CLE,STL
0,1.0,Browns,Bobby Franklin 12 yard rush (Lou Groza kick),7,0
1,1.0,Browns,Ray Renfro 12 yard pass from Milt Plum (Lou Groza kick),14,0
2,2.0,Cardinals,Gerry Perry 31 yard field goal,14,3
3,2.0,Browns,Bobby Mitchell 56 yard rush (Lou Groza kick),21,3
4,3.0,Cardinals,Ralph Guglielmi 3 yard rush (Gerry Perry kick),21,10
