,Quarter,Tm,Detail,WAS,NYG
0,1.0,Giants,Tucker Frederickson 1 yard rush (Pete Gogolak kick),0,7
1,2.0,Redskins,Curt Knight 15 yard field goal,3,7
2,2.0,Redskins,Curt Knight 27 yard field goal,6,7
3,2.0,Giants,Clifton McNeil offensive fumble recovery in end zone (Pete Gogolak kick),6,14
4,2.0,Redskins,Curt Knight 27 yard field goal,9,14
5,2.0,Redskins,Curt Knight 40 yard field goal,12,14
6,3.0,Redskins,Charlie Harraway 57 yard rush (Curt Knight kick),19,14
7,3.0,Redskins,Charlie Harraway 10 yard rush (Curt Knight kick),26,14
8,3.0,Redskins,Charley Taylor 28 yard pass from Sonny Jurgensen (Curt Knight kick),33,14
9,4.0,Giants,Ron Johnson 5 yard rush (Pete Gogolak kick),33,21
10,4.0,Giants,Tucker Frederickson 57 yard pass from Fran Tarkenton (Pete Gogolak kick),33,28
11,4.0,Giants,Ron Johnson 9 yard rush (Pete Gogolak kick),33,35
