,Quarter,Tm,Detail,BKN,BOS
0,1,Redskins,Cliff Battles 45 yard pass from Doug Wycoff (Hal McPhail kick),0,7
1,2,Dodgers,Ralph Kercheval 44 yard field goal,3,7
2,4,Redskins,Hal McPhail 2 yard rush,3,13
