,Quarter,Time,Tm,Detail,NOR,ATL
0,1.0,11:12,Saints,Taysom Hill 3 yard pass from Drew Brees (Wil Lutz kick),7,0
1,2.0,12:41,Falcons,Jaeden Graham 18 yard pass from Matt Ryan (Younghoe Koo kick failed),7,6
2,2.0,9:09,Saints,Wil Lutz 22 yard field goal,10,6
3,2.0,2:00,Saints,Taysom Hill 30 yard rush (Wil Lutz kick),17,6
4,2.0,0:08,Falcons,Younghoe Koo 45 yard field goal,17,9
5,3.0,5:59,Saints,Wil Lutz 47 yard field goal,20,9
6,4.0,10:19,Saints,Wil Lutz 42 yard field goal,23,9
7,4.0,6:32,Saints,Wil Lutz 45 yard field goal,26,9
8,4.0,3:31,Falcons,Russell Gage 13 yard pass from Matt Ryan (pass failed),26,15
9,4.0,2:00,Falcons,Younghoe Koo 43 yard field goal,26,18
