,Quarter,Time,Tm,Detail,SFO,ATL
0,1.0,5:32,Falcons,Tim Dwight 5 yard pass from Chris Chandler (Morten Andersen kick),0,7
1,2.0,13:50,49ers,Terrell Owens 4 yard pass from Jeff Garcia (Wade Richey kick),7,7
2,2.0,1:08,Falcons,Morten Andersen 49 yard field goal,7,10
3,2.0,0:12,Falcons,Tim Dwight 70 yard punt return (Morten Andersen kick),7,17
4,3.0,9:28,Falcons,Terance Mathis 19 yard pass from Chris Chandler (Morten Andersen kick),7,24
5,3.0,3:49,Falcons,Tim Dwight 60 yard pass from Chris Chandler (Morten Andersen kick),7,31
6,3.0,0:21,49ers,Travis Jervey 1 yard rush (J.J. Stokes pass from Jeff Garcia ),15,31
7,4.0,12:51,Falcons,Morten Andersen 38 yard field goal,15,34
8,4.0,9:27,49ers,Jeff Garcia 5 yard rush (Wade Richey kick),22,34
9,4.0,2:46,49ers,J.J. Stokes 43 yard pass from Jeff Garcia (Wade Richey kick),29,34
