,Quarter,Time,Tm,Detail,TEN,HOU
0,1.0,5:54,Titans,Ben Troupe 10 yard pass from Steve McNair (Rob Bironas kick),7,0
1,2.0,14:38,Texans,Kris Brown 32 yard field goal,7,3
2,2.0,7:09,Texans,Kris Brown 38 yard field goal,7,6
3,2.0,2:20,Titans,Rob Bironas 52 yard field goal,10,6
4,3.0,12:26,Texans,Kris Brown 43 yard field goal,10,9
5,3.0,6:06,Titans,Jarrett Payton 5 yard rush (Rob Bironas kick),17,9
6,3.0,2:16,Titans,Drew Bennett 16 yard pass from Steve McNair (Rob Bironas kick),24,9
7,4.0,14:06,Titans,Rob Bironas 49 yard field goal,27,9
8,4.0,11:32,Texans,Kris Brown 47 yard field goal,27,12
9,4.0,7:45,Titans,Steve McNair 1 yard rush (Rob Bironas kick),34,12
10,4.0,1:55,Texans,Corey Bradford 3 yard pass from David Carr (Corey Bradford pass from David Carr),34,20
