,Quarter,Tm,Detail,CIN,PIT
0,1.0,Reds,Algy Clark 12 yard field goal,3,0
1,1.0,Pirates,Ed Westfall 2 yard rush (Angelo Brovelli kick),3,7
2,4.0,Pirates,Mose Kelsch 36 yard field goal,3,10
3,4.0,Pirates,Harp Vaughan 3 yard rush (Ed Westfall kick),3,17
