,Quarter,Time,Tm,Detail,CLE,CIN
0,1.0,7:08,Bengals,Tyler Eifert 9 yard pass from Andy Dalton (Mike Nugent kick),0,7
1,1.0,0:06,Browns,Travis Coons 27 yard field goal,3,7
2,2.0,4:34,Bengals,Tyler Eifert 2 yard pass from Andy Dalton (Mike Nugent kick),3,14
3,2.0,0:19,Browns,Duke Johnson 12 yard pass from Johnny Manziel (Travis Coons kick),10,14
4,3.0,4:05,Bengals,Mike Nugent 28 yard field goal,10,17
5,4.0,13:26,Bengals,Mohamed Sanu 25 yard rush (Mike Nugent kick),10,24
6,4.0,7:43,Bengals,Tyler Eifert 19 yard pass from Andy Dalton (Mike Nugent kick),10,31
