,Quarter,Tm,Detail,DET,NYY
0,1.0,Yankees,Gibby Welch 35 yard pass from Wild Bill Kelly,0,6
1,1.0,Wolverines,Tiny Feather 6 yard rush,6,6
2,2.0,Wolverines,Ossie Wiberg 50 yard pass from Benny Friedman (Benny Friedman kick),13,6
3,3.0,Wolverines,Benny Friedman 15 yard rush (Benny Friedman kick),20,6
4,4.0,Wolverines,Proc Randels 49 yard pass from Benny Friedman (Benny Friedman kick),27,6
5,4.0,Wolverines,Ossie Wiberg 5 yard pass from Benny Friedman (Eddie Scharer kick),34,6
