,Quarter,Tm,Detail,BAL,CHI
0,1.0,Colts,Alan Ameche 11 yard rush (Steve Myhra kick),7,0
1,3.0,Bears,Willie Galimore 30 yard rush (John Aveni kick),7,7
2,4.0,Colts,Lenny Moore 25 yard pass from Johnny Unitas (Steve Myhra kick),14,7
3,4.0,Colts,L.G. Dupre 2 yard pass from Johnny Unitas (Steve Myhra kick),21,7
