,Quarter,Tm,Detail,CLE,GNB
0,1.0,Browns,Chuck Noll 39 yard fumble return (Lou Groza kick),7,0
1,2.0,Browns,Ray Renfro 26 yard pass from Babe Parilli (Lou Groza kick),14,0
2,4.0,Browns,Lou Groza 13 yard field goal,17,0
3,4.0,Packers,Billy Howton 10 yard pass from Tobin Rote (Fred Cone kick),17,7
4,4.0,Browns,Fred Morrison 1 yard rush (Lou Groza kick),24,7
