,Quarter,Tm,Detail,MIA,CIN
0,1.0,Bengals,Eric Kattus 17 yard pass from Boomer Esiason (Jim Breech kick),0,7
1,2.0,Dolphins,Troy Stradford 1 yard rush (Fuad Reveiz kick),7,7
2,2.0,Dolphins,Fuad Reveiz 47 yard field goal,10,7
3,3.0,Dolphins,Mark Clayton 30 yard pass from Dan Marino (Fuad Reveiz kick),17,7
4,4.0,Bengals,Bill Johnson 6 yard rush (Jim Breech kick),17,14
5,4.0,Dolphins,Fuad Reveiz 34 yard field goal,20,14
