,Quarter,Tm,Detail,NYJ,SEA
0,2.0,Jets,Pat Leahy 29 yard field goal,3,0
1,2.0,Seahawks,John Kasay 23 yard field goal,3,3
2,3.0,Seahawks,John Kasay 34 yard field goal,3,6
3,3.0,Seahawks,Travis McNeal 12 yard pass from Jeff Kemp (John Kasay kick),3,13
4,3.0,Seahawks,Tommy Kane 15 yard pass from Jeff Kemp (John Kasay kick),3,20
5,4.0,Jets,Pat Leahy 30 yard field goal,6,20
6,4.0,Jets,Rob Moore 6 yard pass from Troy Taylor (Pat Leahy kick),13,20
