,Quarter,Time,Tm,Detail,MIA,NWE
0,2.0,,Patriots,Troy Brown 24 yard pass from Drew Bledsoe (Adam Vinatieri kick),0,7
1,3.0,,Patriots,Todd Collins 40 yard interception return (Adam Vinatieri kick),0,14
2,3.0,,Patriots,Adam Vinatieri 22 yard field goal,0,17
3,4.0,,Dolphins,Olindo Mare 38 yard field goal,3,17
