,Quarter,Tm,Detail,DET,NOR
0,2.0,Saints,Happy Feller 10 yard field goal,0,3
1,2.0,Lions,Errol Mann 34 yard field goal,3,3
2,3.0,Saints,Happy Feller 18 yard field goal,3,6
3,3.0,Lions,Earl McCullouch 33 yard pass from Greg Landry (Errol Mann kick),10,6
4,4.0,Saints,Howard Stevens 1 yard rush (Happy Feller kick),10,13
5,4.0,Lions,Errol Mann 29 yard field goal,13,13
6,4.0,Saints,Bill Butler 1 yard rush (Happy Feller kick),13,20
