,Quarter,Time,Tm,Detail,DAL,NOR
0,1.0,,Cowboys,Tony Tolbert 54 yard interception return (Chris Boniol kick),7,0
1,2.0,,Saints,Morten Andersen 21 yard field goal,7,3
2,2.0,,Saints,Morten Andersen 32 yard field goal,7,6
3,2.0,,Cowboys,Chris Boniol 30 yard field goal,10,6
4,3.0,,Cowboys,Emmitt Smith 1 yard rush (Chris Boniol kick),17,6
5,3.0,,Saints,Morten Andersen 29 yard field goal,17,9
6,4.0,6:27,Cowboys,Darrin Smith 13 yard interception return (Chris Boniol kick),24,9
7,4.0,6:27,Saints,Derek Brown 4 yard rush (Morten Andersen kick),24,16
