,Quarter,Tm,Detail,PIT,OAK
0,1.0,Steelers,Bennie Cunningham 5 yard pass from Terry Bradshaw (David Trout kick),7,0
1,2.0,Raiders,Derrick Ramsey 25 yard pass from Marc Wilson (Chris Bahr kick),7,7
2,2.0,Steelers,Jim Smith 19 yard pass from Mark Malone (David Trout kick),14,7
3,3.0,Raiders,Arthur Whittington 17 yard pass from Marc Wilson (Chris Bahr kick),14,14
4,3.0,Steelers,Mark Malone 11 yard rush,20,14
5,4.0,Raiders,Bob Chandler 36 yard pass from Marc Wilson,20,20
6,4.0,Raiders,Ted Watts 53 yard punt return (Chris Bahr kick),20,27
7,4.0,Raiders,Chris Bahr 29 yard field goal,20,30
8,4.0,Steelers,Jim Smith 17 yard pass from Mark Malone (David Trout kick),27,30
