,Quarter,Time,Tm,Detail,STL,DEN
0,1.0,,Broncos,Rod Smith 72 yard pass from John Elway (Jason Elam kick),0,7
1,1.0,,Rams,Lawrence Phillips 23 yard rush (Jeff Wilkins kick),7,7
2,2.0,,Broncos,Dwayne Carswell 24 yard pass from John Elway (Jason Elam kick),7,14
3,3.0,,Broncos,Darrien Gordon 94 yard punt return (Jason Elam kick),7,21
4,4.0,,Broncos,Rod Smith 38 yard pass from John Elway (Jason Elam kick),7,28
5,4.0,12:09,Broncos,Ed McCaffrey 23 yard pass from John Elway (Jason Elam kick),7,35
6,4.0,12:09,Rams,Ronald Moore 27 yard rush (Jeff Wilkins kick),14,35
