,Quarter,Tm,Detail,CHI,DEN
0,1,Broncos,David Treadwell 27 yard field goal,0,3
1,2,Bears,Kevin Butler 37 yard field goal,3,3
2,2,Broncos,David Treadwell 24 yard field goal,3,6
3,3,Bears,Kevin Butler 32 yard field goal,6,6
4,3,Bears,Brad Muster 10 yard rush (Kevin Butler kick),13,6
5,4,Broncos,John Elway 9 yard rush (David Treadwell kick),13,13
6,OT,Bears,Kevin Butler 44 yard field goal,16,13
