,Quarter,Tm,Detail,ATL,PHI
0,1.0,Falcons,Bob Etter 28 yard field goal,3,0
1,3.0,Falcons,Jim Mitchell 2 yard pass from Bob Berry (Bob Etter kick),10,0
2,3.0,Eagles,Sam Baker 20 yard field goal,10,3
3,3.0,Falcons,Paul Flatley 71 yard pass from Bob Berry (Bob Etter kick),17,3
4,4.0,Falcons,Bob Etter 30 yard field goal,20,3
5,4.0,Falcons,Gail Cogdill 24 yard pass from Bob Berry (Bob Etter kick),27,3
