,Quarter,Time,Tm,Detail,TEN,JAX
0,1.0,10:50,Jaguars,Mike Hollis 27 yard field goal,0,3
1,1.0,5:19,Titans,Eddie George 7 yard rush (Al Del Greco kick),7,3
2,1.0,2:07,Jaguars,Fred Taylor 10 yard pass from Mark Brunell (Mike Hollis kick),7,10
3,2.0,7:35,Titans,Al Del Greco 30 yard field goal,10,10
4,3.0,8:38,Jaguars,Mike Hollis 20 yard field goal,10,13
5,4.0,14:55,Titans,Al Del Greco 38 yard field goal,13,13
6,4.0,0:00,Jaguars,Mike Hollis 38 yard field goal,13,16
